time,temperature,wind_speed
2017-01-01,16.8,7.0
2017-01-02,18.6,7.1
2017-01-03,22.0,6.5
2017-01-04,25.5,6.0
2017-01-05,26.5,6.2
2017-01-06,24.0,6.0
2017-01-07,25.2,5.9
2017-01-08,22.5,5.5
2017-01-09,20.1,4.6
2017-01-10,17.6,4.2
2017-01-11,14.1,3.6
2017-01-12,12.3,3.1
2017-01-13,8.9,2.8
2017-01-14,6.3,3.7
2017-01-15,5.6,2.9
2017-01-16,5.5,2.9
2017-01-17,7.7,2.7
2017-01-18,7.9,3.5
2017-01-19,11.1,3.1
2017-01-20,13.1,3.8
2017-01-21,14.6,4.0
2017-01-22,20.8,4.8
2017-01-23,23.5,5.0
2017-01-24,23.5,5.2
2017-01-25,27.3,5.9
2017-01-26,23.2,6.4
2017-01-27,23.3,6.6
2017-01-28,20.9,6.9
2017-01-29,19.7,6.8
2017-01-30,16.5,6.9
