date,EUR_USD,GBP_USD
2020-01-01,1.0966,1.3432
2020-01-02,1.1014,1.3202
2020-01-03,1.1023,1.3196
2020-01-04,1.1007,1.3333
2020-01-05,1.1129,1.3158
2020-01-06,1.1124,1.3344
2020-01-07,1.1083,1.3141
2020-01-08,1.1204,1.3076
2020-01-09,1.1147,1.3218
2020-01-10,1.1201,1.314
2020-01-11,1.1236,1.3119
2020-01-12,1.1202,1.3003
2020-01-13,1.1244,1.2833
2020-01-14,1.1111,1.2984
2020-01-15,1.1175,1.2792
2020-01-16,1.1098,1.2832
2020-01-17,1.1063,1.2813
2020-01-18,1.1049,1.2713
2020-01-19,1.1032,1.2752
2020-01-20,1.1019,1.2766
2020-01-21,1.0926,1.2727
2020-01-22,1.0997,1.2632
2020-01-23,1.0945,1.2745
2020-01-24,1.0816,1.2839
2020-01-25,1.0942,1.2727
2020-01-26,1.094,1.28
2020-01-27,1.0886,1.282
2020-01-28,1.0804,1.3023
2020-01-29,1.0751,1.2987
2020-01-30,1.0853,1.3016
2020-01-31,1.0781,1.2982
2020-02-01,1.0869,1.3121
2020-02-02,1.083,1.3081
2020-02-03,1.0884,1.3173
2020-02-04,1.0874,1.3163
2020-02-05,1.0915,1.3287
2020-02-06,1.0908,1.3306
2020-02-07,1.1026,1.327
2020-02-08,1.0974,1.3324
2020-02-09,1.102,1.3223
